Japanese,English,Kana
行く,go,いく
見る,"see, look at",みる
多い,"a lot of, many",おおい
家,"home, household",いえ
これ,"this, this one",これ
それ,"that, that one",それ
私,I,わたし
仕事,"work, job",しごと
いつ,when,いつ
する,"do, make",する
出る,"go out, leave",でる
使う,"use, make use of",つかう
所,place,ところ
作る,"make, create",つくる
思う,think,おもう
持つ,"have, possess",もつ
買う,buy,かう
時間,"time, hour",じかん
知る,know,しる
同じ,"same, identical",おなじ
今,now,いま
新しい,new,あたらしい
なる,become,なる
まだ,"not yet, still",まだ
あと,after,あと
聞く,"hear, ask",きく
言う,"say, tell",いう
少ない,"few, little",すくない
高い,"high, tall",たかい
子供,child,こども
そう,"so, that way",そう
もう,"already, yet",もう
学生,student,がくせい
熱い,hot to touch,あつい
どうぞ,please,どうぞ
午後,"afternoon, p.m.",ごご
長い,long,ながい
本,"book, volume",ほん
今年,this year,ことし
よく,"often, well",よく
彼女,"she, one’s girlfriend",かのじょ
どう,"how, what",どう
言葉,"word, language",ことば
顔,face,かお
終わる,"finish, end",おわる
一つ,one thing,ひとつ
あげる,"give, offer",あげる
こう,"like this, such",こう
学校,school,がっこう
くれる,be given,くれる
始める,start something,はじめる
起きる,"get up, get out of bed",おきる
春,spring,はる
午前,"morning, a.m.",ごぜん
別,"another, different",べつ
どこ,where,どこ
部屋,room,へや
若い,young,わかい
車,"car, automobile",くるま
置く,"put, place",おく
住む,"live, reside",すむ
働く,work,はたらく
難しい,difficult,むずかしい
先生,teacher,せんせい
立つ,"stand, rise",たつ
呼ぶ,"call, name",よぶ
大学,"university, college",だいがく
安い,"cheap, inexpensive",やすい
もっと,more,もっと
帰る,go back home,かえる
分かる,understand,わかる
広い,"wide, big",ひろい
数,number,すう
近い,"near, close",ちかい
そこ,there,そこ
走る,run,はしる
入れる,put in,いれる
教える,"teach, tell",おしえる
歩く,"walk, go on foot",あるく
会う,meet,あう
書く,write,かく
頭,head,あたま
売る,sell,うる
大好き,like something a lot,だいすき
体,"body, physique",からだ
直ぐ,"at once, soon",すぐ
飛ぶ,fly,とぶ
とても,very,とても
誰,who,だれ
好き,"favorite, liked",すき
読む,read,よむ
次,next,つぎ
あなた,you,あなた
飲む,drink,のむ
古い,old,ふるい
質問,question,しつもん
今日,today,きょう
友達,"friend, companion",ともだち
早い,early,はやい
どれ,"what, which",どれ
美しい,beautiful,うつくしい
いつも,always,いつも
足,"leg, foot",あし
起こす,wake someone up,おこす
見せる,show,みせる
娘,"daughter, girl",むすめ
楽しむ,enjoy,たのしむ
色,color,いろ
みんな,everybody,みんな
取る,"take, get",とる
勉強,study,べんきょう
できる,"can do, be good at",できる
短い,"short, brief",みじかい
落ちる,"fall, come down",おちる
息子,son,むすこ
白い,"white, blank",しろい
飛行機,airplane,ひこうき
病気,illness,びょうき
冬,winter,ふゆ
年,"year, age",とし
重い,heavy,おもい
胸,"chest, breast",むね
払う,"pay money, respect, attention, etc.",はらう
軽い,light of weight,かるい
見つける,find,みつける
忘れる,"forget, leave behind",わすれる
酒,"alcohol, rice wine",さけ
どちら,which,どちら
姉,one’s own older sister,あね
覚える,"memorize, learn",おぼえる
狭い,"narrow, small",せまい
赤い,red,あかい
着る,"wear, put on",きる
笑う,"laugh, smile",わらう
一番,"most, best",いちばん
授業,"class session, lecture",じゅうぎょ
週,week,しゅう
漢字,Chinese character,かんじ
自転車,bicycle,じてんしゃ
電車,train,でんしゃ
探す,"search for, look for",さがす
紙,paper,かみ
歌う,sing,うたう
遅い,"slow, late",おそい
首,neck,くび
速い,fast,はやい
一緒に,"together, at the same time",いっしょ
今月,this month,こんげつ
遊ぶ,play,あそぶ
遠い,"far, distant",とおい
弱い,weak,よわい
耳,ear,みみ
座る,"sit, sit down",すわる
右,right,みぎ
浴びる,take a shower,あびる
肩,shoulder,かた
寝る,"lie down and sleep, go to sleep",ねる
消す,"switch off, turn off",けす
元気,"healthy, energetic",げんき
全部,"all, whole",ぜんぶ
去年,last year,きょねん
引く,"draw, pull",ひく
図書館,library,としょかん
上げる,"raise, lift",あげる
緑,green,みどり
